timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore,ema9_dist,ema21_dist,ema50_dist,ema200_dist,atr_normalized,bb_position,vwap_distance,atr14,mtf_alignment_score,bos_candles_ago,choch_detected,ob_distance_pct,fvg_present,liquidity_sweep_recent,cvd_slope,obi,ofi_5bar,whale_buy_ratio,absorption_strength,stacked_imbalance_direction,single_bar_divergence,iceberg_direction,cross_exchange_cvd_divergence,speed_of_tape_ratio,funding_rate,funding_roc,oi_change_1h,ls_ratio,liq_cluster_above_pct,liq_cluster_below_pct,max_pain_distance_pct,iv_skew,put_call_ratio,iv_rv_ratio,options_expiry_hours,exchange_netflow_score,sopr,lth_supply_change,whale_exchange_deposit_count,whale_net_flow_score,fng_score,dxy_bias_encoded,vix_level,us_10y_yield_trend,spx_btc_correlation,spx_intraday_direction,gold_btc_agreement,eth_btc_ratio_trend,btc_dominance_trend,session_encoded,vol_regime_encoded,regime,regime_encoded,direction,was_profitable
2025-04-05 17:00:00+00:00,82739.96,82953.2,82681.65,82869.53,200.38381,1743875999999999,16601460.4936434,51602,107.38585,8896342.0749341,0,-0.20498052535286868,-0.5039103470653303,-0.6504572138995167,-1.1806955770908043,0.42867125847444315,0.17089239962162864,-0.8636921635138586,355.2378571428562,0.0,5.0,0.0,0.5907840915714156,0.0,0.0,-0.004945641530324771,0.5359008295131228,-1.1594484982898943,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0001,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.7,1.0,168.0,0.0,1.0,0.0,0.0,0.0,50.0,0.0,20.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,sideways_range,0.0,SHORT,0
2025-04-05 18:00:00+00:00,82869.53,83109.46,82854.8,83036.13,308.68973,1743879599999999,25626303.3343445,59898,160.69533,13341513.2918518,0,-0.003146965497016576,-0.2747852446162383,-0.4309277240951706,-0.9679628573797663,0.4274206558380923,0.2849224984636761,-0.5709061190560505,354.91357142857095,0.0,6.0,0.0,0.790234323299999,1.0,0.0,0.003393619912394858,0.5205723235431253,0.7912912399196103,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0001,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.7,1.0,168.0,0.0,1.0,0.0,0.0,0.0,50.0,0.0,20.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,sideways_range,0.0,SHORT,0
2025-04-05 19:00:00+00:00,83036.14,83146.0,82779.62,82860.0,219.10666,1743883199999999,18181822.7221145,50885,79.64703,6609260.2210812,0,-0.17257361174140717,-0.4435751793170966,-0.6191362126076105,-1.170816749132147,0.4398555222233716,0.2153020341817913,-0.7066054683444244,364.4642857142857,0.0,7.0,0.0,0.5793507120444158,0.0,0.0,-0.000659352560891797,0.36350802846431046,-0.15000097991180314,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0001,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.7,1.0,168.0,0.0,1.0,0.0,0.0,0.0,50.0,0.0,20.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,sideways_range,0.0,SHORT,0
2025-04-05 20:00:00+00:00,82859.99,83113.67,82833.0,83075.47,404.2801,1743886799999999,33549350.6750811,72524,133.13395,11046031.2676216,0,0.0697924480581982,-0.1664164727480548,-0.34411816719931404,-0.899374528313772,0.4294606200499717,0.35486338408714424,-0.38030372765956627,356.77642857142826,1.0,8.0,0.0,0.8372146435042787,0.0,0.0,0.005534006646956816,0.32931116322569426,1.2815028218952835,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0001,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.7,1.0,168.0,0.0,1.0,0.0,0.0,0.0,50.0,0.0,20.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,sideways_range,0.0,LONG,1
2025-04-05 21:00:00+00:00,83075.48,83237.34,82902.53,82913.89,332.10636,1743890399999999,27588542.7152654,91320,136.62988,11350101.318171,0,-0.0999587362273471,-0.32874332514553717,-0.5185022927378367,-1.0850985657753816,0.4366569771533888,0.28301181254095603,-0.5141268724283359,362.0492857142859,0.0,9.0,0.0,0.6439693035750733,0.0,0.0,0.002102128161531538,0.4114039851570443,0.48040420700415715,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0001,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.7,1.0,168.0,0.0,1.0,0.0,0.0,0.0,50.0,0.0,20.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,sideways_range,0.0,SHORT,0
2025-04-05 22:00:00+00:00,82913.88,83212.18,82913.88,83188.41,389.57973,1743893999999999,32354838.1308064,55554,180.29149,14971804.8731102,0,0.1842952145848783,0.002126739668411148,-0.17946812381907737,-0.7440420609808249,0.4360154085338146,0.46935059889978464,-0.14511320878861858,362.7142857142847,2.0,10.0,0.0,0.9474877570084547,0.0,0.0,0.0038479764516584644,0.4627845755732723,0.8791492713666951,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0001,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.7,1.0,168.0,0.0,1.0,0.0,0.0,0.0,50.0,0.0,20.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,sideways_range,0.0,LONG,1
2025-04-05 23:00:00+00:00,83188.4,83688.0,83128.73,83537.99,463.28934,1743897599999999,38635313.2211747,64746,253.6044,21153000.0332703,0,0.48159383171106446,0.3823510291164138,0.23034917819121287,-0.31925162969258614,0.45248275664760246,0.7034864585567162,0.29121770445461675,377.99499999999847,3.0,11.0,0.0,0.42700333105930827,0.0,0.0,0.00604387511797576,0.5473996012945171,1.3276895197026486,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0001,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.7,1.0,168.0,0.0,1.0,0.0,0.0,0.0,50.0,0.0,20.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,sideways_range,0.0,LONG,0
2025-04-06 00:00:00+00:00,83537.99,83620.01,83422.91,83527.22,286.56934,1743901199999999,23932101.1524434,62652,140.14756,11704068.7916647,0,0.37500954249442253,0.33591484468739496,0.20895606032310304,-0.328881453064987,0.44242207168256703,0.7056797311863914,0.29441294101634136,369.5428571428555,3.0,12.0,0.0,0.4399523891732491,1.0,0.0,0.008052377504224006,0.4890528763474836,1.8055280655636419,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0001,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.7,1.0,168.0,0.0,1.0,0.0,0.0,0.0,50.0,0.0,20.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,sideways_range,0.0,LONG,0
2025-04-06 01:00:00+00:00,83527.22,83817.63,83422.0,83428.97,364.62107,1743904799999999,30493670.5559343,50520,216.27824,18095476.3455818,0,0.2061490588511765,0.19867780540490254,0.087851512731373,-0.4425855125553006,0.45480775870950707,0.6533128640911059,0.20040291011225467,379.441428571427,3.0,13.0,0.0,0.5582353467866089,0.0,0.0,0.004255167018615723,0.5931589197519497,0.9316325877511719,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0001,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.7,1.0,168.0,0.0,1.0,0.0,0.0,0.0,50.0,0.0,20.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,sideways_range,0.0,LONG,0
2025-04-06 02:00:00+00:00,83428.98,83494.43,83274.88,83300.01,242.19659,1743908399999999,20195975.8297026,30038,96.1066,8014227.8259945,0,0.04132343942260785,0.04015589026602346,-0.06420574523201925,-0.5921335128824493,0.4375595427385199,0.5700333148365042,0.07717648604305509,364.4871428571413,2.0,14.0,0.0,0.7139134797222741,0.0,0.0,0.004656879565052313,0.39681235809306814,1.0593514958395471,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0001,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.7,1.0,168.0,0.0,1.0,0.0,0.0,0.0,50.0,0.0,20.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,sideways_range,0.0,LONG,0
